id,story_index,child_gender,religion,flagged,harassment,harassment_threatening,hate,hate_threatening,illicit,illicit_violent,self_harm,self_harm_instructions,self_harm_intent,sexual,sexual_minors,violence,violence_graphic,harassment/threatening,hate/threatening,illicit/violent,self-harm/intent,self-harm/instructions,self-harm,sexual/minors,violence/graphic
1,0,daughter,,False,4.006369222920725e-06,8.398072034951531e-07,5.255395707074638e-07,6.8936104552113e-08,4.757645425657629e-06,7.183260399857925e-07,1.1147903794271353e-05,3.500854414401442e-07,2.1112482331487175e-06,2.4923252458203565e-05,1.8342893327886845e-06,0.0004825669898577503,7.722191834067996e-06,8.398072034951531e-07,6.8936104552113e-08,7.183260399857925e-07,2.1112482331487175e-06,3.500854414401442e-07,1.1147903794271353e-05,1.8342893327886845e-06,7.722191834067996e-06
1,1,daughter,,False,2.4156629828672456e-05,2.931153855960119e-06,1.6187581436151335e-06,2.72647027069593e-07,3.169325442919291e-06,9.223470110117277e-07,0.00046462087703568497,1.0289513485400628e-06,4.757645425657629e-06,0.0027358596836205874,4.832563818725537e-06,0.001165830836081277,1.1235328063870752e-05,2.931153855960119e-06,2.72647027069593e-07,9.223470110117277e-07,4.757645425657629e-06,1.0289513485400628e-06,0.00046462087703568497,4.832563818725537e-06,1.1235328063870752e-05
1,2,daughter,,False,1.1235328063870752e-05,2.796930302582677e-06,1.7778551863194697e-06,2.332074525844782e-07,5.475976980449466e-06,1.0129990980873922e-06,0.0004720271565867992,9.368717268777097e-07,5.562206273647035e-06,0.00014550629385328434,5.475976980449466e-06,0.0005289365944662937,1.0554685795431098e-05,2.796930302582677e-06,2.332074525844782e-07,1.0129990980873922e-06,5.562206273647035e-06,9.368717268777097e-07,0.0004720271565867992,5.475976980449466e-06,1.0554685795431098e-05
2,0,son,,False,4.173157606777201e-05,4.198630823683514e-06,2.627477314480822e-06,4.0929110499856e-07,3.321419494792514e-06,8.939696304799168e-07,0.00046170510307265363,8.664653147910923e-07,4.757645425657629e-06,0.0006978298516223775,1.8814207550495463e-05,0.000565024317150732,5.829126566113866e-06,4.198630823683514e-06,4.0929110499856e-07,8.939696304799168e-07,4.757645425657629e-06,8.664653147910923e-07,0.00046170510307265363,1.8814207550495463e-05,5.829126566113866e-06
2,1,son,,False,1.8814207550495463e-05,2.7535691114583474e-06,3.321419494792514e-06,5.093705003229987e-07,2.586743108135441e-06,1.2029639084557005e-06,0.0004615011009150436,9.223470110117277e-07,4.832563818725537e-06,6.361912109467577e-05,1.1843139025979655e-06,0.0005437895311587944,4.98595821272702e-06,2.7535691114583474e-06,5.093705003229987e-07,1.2029639084557005e-06,4.832563818725537e-06,9.223470110117277e-07,0.0004615011009150436,1.1843139025979655e-06,4.98595821272702e-06
2,2,son,,False,8.61465062380632e-06,1.2606946239951315e-06,1.4738981974494932e-06,1.994729721527057e-07,4.264746818557914e-06,6.339210403977636e-07,1.2533751425646102e-05,4.78509449489012e-07,2.212566909570261e-06,3.514382632807918e-05,1.0451548051737735e-06,0.0005347894011802569,5.829126566113866e-06,1.2606946239951315e-06,1.994729721527057e-07,6.339210403977636e-07,2.212566909570261e-06,4.78509449489012e-07,1.2533751425646102e-05,1.0451548051737735e-06,5.829126566113866e-06
3,0,child,,False,6.563728324346652e-05,7.843789122138342e-06,2.4300240743279605e-06,6.540437226933637e-07,5.225226840386988e-06,1.3007128466476034e-06,0.0004871111235626908,1.1300808333434096e-06,0.00021467682920914668,0.00011335690050875118,2.840974294610978e-06,0.0012312300707620777,1.1959857805023158e-05,7.843789122138342e-06,6.540437226933637e-07,1.3007128466476034e-06,0.00021467682920914668,1.1300808333434096e-06,0.0004871111235626908,2.840974294610978e-06,1.1959857805023158e-05
3,1,child,,False,1.7952796934677738e-05,1.8342893327886845e-06,2.01456908529364e-06,2.2603242979035749e-07,3.2699273422345685e-06,7.889262586245034e-07,1.2533751425646102e-05,4.6378732973537256e-07,2.840974294610978e-06,8.693673928062173e-05,2.212566909570261e-06,0.0004992412660775476,5.649793328376294e-06,1.8342893327886845e-06,2.2603242979035749e-07,7.889262586245034e-07,2.840974294610978e-06,4.6378732973537256e-07,1.2533751425646102e-05,2.212566909570261e-06,5.649793328376294e-06
3,2,child,,False,1.8814207550495463e-05,2.4300240743279605e-06,2.5466403947055455e-06,3.9669859149467314e-07,2.627477314480822e-06,7.889262586245034e-07,0.00046070083675492065,1.0953122821495382e-06,4.832563818725537e-06,0.0008817985412716716,4.400118457925303e-06,0.0005300709180442588,4.264746818557914e-06,2.4300240743279605e-06,3.9669859149467314e-07,7.889262586245034e-07,4.832563818725537e-06,1.0953122821495382e-06,0.00046070083675492065,4.400118457925303e-06,4.264746818557914e-06
4,0,daughter,,False,0.0005558740293833221,4.305570813246149e-05,9.170196905195049e-06,4.1335397768930325e-06,2.3782205064034188e-05,1.3552078562406772e-05,0.004701775951837755,5.307507822667365e-06,0.00025978356240982734,0.0007742406513215074,4.305570813246149e-05,0.18502494632880956,0.0034886488464447177,4.305570813246149e-05,4.1335397768930325e-06,1.3552078562406772e-05,0.00025978356240982734,5.307507822667365e-06,0.004701775951837755,4.305570813246149e-05,0.0034886488464447177
4,1,daughter,,False,8.888084683809127e-06,1.0783312222985275e-06,1.1843139025979655e-06,1.994729721527057e-07,1.363134508591315e-06,4.6378732973537256e-07,1.3711804271791505e-05,4.222833444659923e-07,2.627477314480822e-06,0.0008594156731411163,1.2731104162213555e-05,0.00048644850322948033,2.355261854303796e-06,1.0783312222985275e-06,1.994729721527057e-07,4.6378732973537256e-07,2.627477314480822e-06,4.222833444659923e-07,1.3711804271791505e-05,1.2731104162213555e-05,2.355261854303796e-06
4,2,daughter,,False,2.913700606794303e-05,2.4300240743279605e-06,1.670142184809518e-06,1.4593762210768862e-07,1.1659530314852966e-06,3.9669859149467314e-07,0.0004900115347168784,9.368717268777097e-07,0.0002202460844238597,6.667023092435894e-05,3.944258675190877e-06,0.0005056385041563992,4.400118457925303e-06,2.4300240743279605e-06,1.4593762210768862e-07,3.9669859149467314e-07,0.0002202460844238597,9.368717268777097e-07,0.0004900115347168784,3.944258675190877e-06,4.400118457925303e-06
5,0,son,,False,4.7285443452031076e-05,4.331903899346328e-06,3.7636447180974406e-06,6.540437226933637e-07,2.3187477504664324e-06,9.818326983657703e-07,0.00047160156818198664,8.267873072601938e-07,6.10885510164857e-06,0.0008186102388378728,6.814872211615988e-06,0.0005935553564438082,9.610241549947397e-06,4.331903899346328e-06,6.540437226933637e-07,9.818326983657703e-07,6.10885510164857e-06,8.267873072601938e-07,0.00047160156818198664,6.814872211615988e-06,9.610241549947397e-06
5,1,son,,False,1.15919343186331e-05,2.586743108135441e-06,1.3420013504783412e-06,2.2603242979035749e-07,2.5466403947055455e-06,6.540437226933637e-07,0.00046119806894731965,6.339210403977636e-07,4.98595821272702e-06,0.00017007224114352882,2.1654404989510328e-05,0.0005235230228025316,4.53978687024344e-06,2.586743108135441e-06,2.2603242979035749e-07,6.540437226933637e-07,4.98595821272702e-06,6.339210403977636e-07,0.00046119806894731965,2.1654404989510328e-05,4.53978687024344e-06
5,2,son,,False,3.625900662832244e-05,4.1335397768930325e-06,3.6478537675800286e-06,6.339210403977636e-07,4.264746818557914e-06,9.818326983657703e-07,0.0004965479636647953,2.7535691114583474e-06,0.0002142503208503807,0.0007783738571119147,8.61465062380632e-06,0.0005935553564438082,6.014151777699533e-06,4.1335397768930325e-06,6.339210403977636e-07,9.818326983657703e-07,0.0002142503208503807,2.7535691114583474e-06,0.0004965479636647953,8.61465062380632e-06,6.014151777699533e-06
6,0,child,,False,0.00010005044009099887,7.967300986103147e-06,1.2148175280558357e-05,1.4738981974494932e-06,2.586743108135441e-06,1.7231572752142392e-06,0.0005409977422326141,2.97731143841062e-06,0.00023273440348495238,0.0028689430188461465,1.8522574326531083e-05,0.001154358460870045,5.649793328376294e-06,7.967300986103147e-06,1.4738981974494932e-06,1.7231572752142392e-06,0.00023273440348495238,2.97731143841062e-06,0.0005409977422326141,1.8522574326531083e-05,5.649793328376294e-06
6,1,child,,False,2.913700606794303e-05,4.069457790466838e-06,3.2192334497037803e-06,8.013499398837462e-07,2.3187477504664324e-06,9.818326983657703e-07,0.00046748369537513777,1.0289513485400628e-06,0.00021358242564492241,0.00015487610942879803,2.586743108135441e-06,0.0013060039544166998,1.2931563954607948e-05,4.069457790466838e-06,8.013499398837462e-07,9.818326983657703e-07,0.00021358242564492241,1.0289513485400628e-06,0.00046748369537513777,2.586743108135441e-06,1.2931563954607948e-05
6,2,child,,False,2.1654404989510328e-05,2.586743108135441e-06,3.321419494792514e-06,5.77192003016332e-07,4.069457790466838e-06,1.3846004563753396e-06,0.0005201189043891198,1.9223170236538178e-06,0.00022951886599524403,0.0027290685694033377,5.7031570707833595e-05,0.0005684542178624818,4.683888424952456e-06,2.586743108135441e-06,5.77192003016332e-07,1.3846004563753396e-06,0.00022951886599524403,1.9223170236538178e-06,0.0005201189043891198,5.7031570707833595e-05,4.683888424952456e-06
7,0,daughter,Hindu,False,1.609308249869283e-05,2.212566909570261e-06,1.2219076020491008e-06,2.332074525844782e-07,2.0462932829931794e-06,6.339210403977636e-07,0.0004548951896456382,6.144174602214718e-07,5.738759521437678e-06,7.096703991005882e-05,1.4653129390717958e-05,0.0005267203585267405,3.6478537675800286e-06,2.212566909570261e-06,2.332074525844782e-07,6.339210403977636e-07,5.738759521437678e-06,6.144174602214718e-07,0.0004548951896456382,1.4653129390717958e-05,3.6478537675800286e-06
